directory,subject,timestamp,x,y,z,activity_type
2807,U3,2024-09-05 21:25:00.002000+01:00,1.896,-0.558,9.938,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:00.162000+01:00,1.903,-0.536,9.938,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:00.325000+01:00,1.884,-0.575,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:00.481000+01:00,1.894,-0.551,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:00.642000+01:00,1.877,-0.577,9.922,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:00.803000+01:00,1.875,-0.579,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:00.961000+01:00,1.899,-0.572,9.934,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:01.122000+01:00,1.891,-0.558,9.929,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:01.282000+01:00,1.899,-0.572,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:01.444000+01:00,1.896,-0.589,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:01.601000+01:00,1.889,-0.572,9.919,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:01.762000+01:00,1.891,-0.594,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:01.921000+01:00,1.894,-0.577,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:02.081000+01:00,1.896,-0.577,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:02.244000+01:00,1.879,-0.565,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:02.404000+01:00,1.894,-0.57,9.938,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:02.563000+01:00,1.875,-0.558,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:02.724000+01:00,1.875,-0.563,9.938,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:02.883000+01:00,1.884,-0.551,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:03.041000+01:00,1.894,-0.567,9.919,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:03.203000+01:00,1.901,-0.543,9.941,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:03.361000+01:00,1.882,-0.551,9.914,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:03.522000+01:00,1.896,-0.546,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:03.682000+01:00,1.879,-0.551,9.934,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:03.841000+01:00,1.894,-0.567,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04+01:00,1.882,-0.553,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04.162000+01:00,1.891,-0.548,9.938,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04.322000+01:00,1.901,-0.543,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04.483000+01:00,1.899,-0.555,9.919,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04.644000+01:00,1.875,-0.543,9.926,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04.805000+01:00,1.879,-0.565,9.912,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:04.962000+01:00,1.894,-0.555,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:05.122000+01:00,1.875,-0.543,9.917,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:05.284000+01:00,1.884,-0.575,9.917,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:05.442000+01:00,1.879,-0.546,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:05.601000+01:00,1.882,-0.551,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:05.765000+01:00,1.889,-0.587,9.91,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:05.922000+01:00,1.889,-0.546,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:06.084000+01:00,1.884,-0.579,9.912,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:06.240000+01:00,1.899,-0.577,9.922,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:06.402000+01:00,1.899,-0.567,9.929,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:06.564000+01:00,1.887,-0.572,9.926,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:06.725000+01:00,1.901,-0.551,9.922,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:06.884000+01:00,1.901,-0.572,9.924,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:07.041000+01:00,1.889,-0.575,9.929,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:07.201000+01:00,1.891,-0.563,9.934,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:07.362000+01:00,1.891,-0.572,9.931,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:07.525000+01:00,1.875,-0.565,9.936,2 (FACING camera) both hands SHAKING (sitting position)
2807,U3,2024-09-05 21:25:07.684000+01:00,1.899,-0.548,9.934,2 (FACING camera) both hands SHAKING (sitting position)
